task,seed,model_kind,extraction_type,backend,dcsa_agreement,dcsa_mean_l1,faithfulness_pass,extraction_success,n_extracted_states,n_minimal_states,state_count_error,fidelity_to_transformer_iid,fidelity_to_transformer_ood,ground_truth_accuracy_iid,ground_truth_accuracy_ood,whitebox_blackbox_disagreement_iid,whitebox_blackbox_disagreement_ood,notes
parity,0,direct,whitebox,zhang_lstar,1.000000,0.100055,1,1,9,2,7,0.999500,1.000000,0.683500,0.499500,,,
parity,0,cot_true,whitebox,zhang_lstar,0.993000,0.083627,1,1,2,2,0,0.976000,0.491500,1.000000,1.000000,,,
parity,0,cot_pad,whitebox,zhang_lstar,0.998000,0.137320,1,1,12,2,10,0.998500,0.143500,0.543000,0.499500,,,
parity,1,direct,whitebox,zhang_lstar,0.999000,0.098294,1,1,4,2,2,0.660500,0.489500,1.000000,1.000000,,,
parity,1,cot_true,whitebox,zhang_lstar,1.000000,0.020372,1,1,2,2,0,1.000000,0.501000,1.000000,1.000000,,,
parity,1,cot_pad,whitebox,none,0.924000,0.122168,0,0,,2,,,,,,,,DCSA failed faithfulness gate; extraction skipped.
parity,2,direct,whitebox,zhang_lstar,0.978000,0.125688,1,1,496,2,494,0.938500,1.000000,0.615500,0.488000,,,
parity,2,cot_true,whitebox,zhang_lstar,1.000000,0.024393,1,1,3,2,1,1.000000,0.493500,1.000000,1.000000,,,
parity,2,cot_pad,whitebox,none,0.943000,0.109698,0,0,,2,,,,,,,,DCSA failed faithfulness gate; extraction skipped.
parity,3,direct,whitebox,zhang_lstar,1.000000,0.162039,1,1,5,2,3,1.000000,1.000000,0.522500,0.493500,,,
parity,3,cot_true,whitebox,zhang_lstar,1.000000,0.025761,1,1,2,2,0,0.995000,0.508000,1.000000,1.000000,,,
parity,3,cot_pad,whitebox,zhang_lstar,0.963000,0.112958,1,1,649,2,647,0.845500,0.620500,0.583000,0.488000,,,
parity,4,direct,whitebox,zhang_lstar,1.000000,0.140625,1,1,4,2,2,1.000000,1.000000,0.532000,0.520500,,,
parity,4,cot_true,whitebox,zhang_lstar,1.000000,0.026897,1,1,2,2,0,1.000000,0.515500,1.000000,1.000000,,,
parity,4,cot_pad,whitebox,zhang_lstar,0.999000,0.135294,1,1,35,2,33,0.988000,0.915000,0.496500,0.479500,,,
contains_11,0,direct,whitebox,zhang_lstar,0.996000,0.031540,1,1,10,3,7,0.995000,1.000000,0.951000,0.999500,,,
contains_11,0,cot_true,whitebox,zhang_lstar,1.000000,0.009415,1,1,3,3,0,1.000000,1.000000,1.000000,1.000000,,,
contains_11,0,cot_pad,whitebox,zhang_lstar,0.998000,0.099200,1,1,3,3,0,0.977500,0.998500,1.000000,1.000000,,,
contains_11,1,direct,whitebox,zhang_lstar,0.999000,0.036322,1,1,13,3,10,0.992000,1.000000,0.943000,1.000000,,,
contains_11,1,cot_true,whitebox,zhang_lstar,1.000000,0.012965,1,1,4,3,1,1.000000,1.000000,1.000000,1.000000,,,
contains_11,1,cot_pad,whitebox,zhang_lstar,0.995000,0.092275,1,1,5,3,2,0.976500,0.999000,1.000000,1.000000,,,
contains_11,2,direct,whitebox,zhang_lstar,0.999000,0.031284,1,1,11,3,8,0.993000,1.000000,0.957000,1.000000,,,
contains_11,2,cot_true,whitebox,zhang_lstar,0.999000,0.013552,1,1,3,3,0,1.000000,1.000000,1.000000,1.000000,,,
contains_11,2,cot_pad,whitebox,zhang_lstar,0.996000,0.144150,1,1,3,3,0,0.976500,0.996000,1.000000,1.000000,,,
contains_11,3,direct,whitebox,zhang_lstar,0.999000,0.028203,1,1,10,3,7,0.987000,1.000000,0.953000,1.000000,,,
contains_11,3,cot_true,whitebox,zhang_lstar,1.000000,0.008524,1,1,3,3,0,1.000000,1.000000,1.000000,1.000000,,,
contains_11,3,cot_pad,whitebox,zhang_lstar,0.994000,0.084111,1,1,3,3,0,0.978500,0.991500,1.000000,1.000000,,,
contains_11,4,direct,whitebox,zhang_lstar,0.998000,0.035457,1,1,11,3,8,0.992000,1.000000,0.957500,0.999500,,,
contains_11,4,cot_true,whitebox,zhang_lstar,0.999000,0.025379,1,1,3,3,0,0.999000,1.000000,1.000000,1.000000,,,
contains_11,4,cot_pad,whitebox,zhang_lstar,0.995000,0.117772,1,1,3,3,0,0.980500,0.997500,1.000000,1.000000,,,
mod3,0,direct,whitebox,zhang_lstar,1.000000,0.117012,1,1,2,3,-1,1.000000,1.000000,0.680500,0.657500,,,
mod3,0,cot_true,whitebox,zhang_lstar,1.000000,0.030598,1,1,3,3,0,1.000000,0.548000,1.000000,1.000000,,,
mod3,0,cot_pad,whitebox,none,0.900000,0.163663,0,0,,3,,,,,,,,DCSA failed faithfulness gate; extraction skipped.
mod3,1,direct,whitebox,zhang_lstar,0.998000,0.104068,1,1,5,3,2,0.999500,1.000000,0.747500,0.654500,,,
mod3,1,cot_true,whitebox,zhang_lstar,1.000000,0.026542,1,1,3,3,0,1.000000,0.559000,1.000000,1.000000,,,
mod3,1,cot_pad,whitebox,zhang_lstar,0.971000,0.124750,1,1,347,3,344,0.913000,0.763500,0.738000,0.654500,,,
mod3,2,direct,whitebox,zhang_lstar,1.000000,0.109852,1,1,3,3,0,1.000000,1.000000,0.695000,0.655000,,,
mod3,2,cot_true,whitebox,zhang_lstar,1.000000,0.031974,1,1,3,3,0,1.000000,0.546000,1.000000,1.000000,,,
mod3,2,cot_pad,whitebox,none,0.898000,0.183452,0,0,,3,,,,,,,,DCSA failed faithfulness gate; extraction skipped.
mod3,3,direct,whitebox,zhang_lstar,1.000000,0.125348,1,1,3,3,0,1.000000,1.000000,0.678000,0.666000,,,
mod3,3,cot_true,whitebox,zhang_lstar,1.000000,0.026821,1,1,3,3,0,1.000000,0.538000,1.000000,1.000000,,,
mod3,3,cot_pad,whitebox,none,0.896000,0.174817,0,0,,3,,,,,,,,DCSA failed faithfulness gate; extraction skipped.
mod3,4,direct,whitebox,zhang_lstar,0.999000,0.093492,1,1,5,3,2,1.000000,1.000000,0.750500,0.644000,,,
mod3,4,cot_true,whitebox,zhang_lstar,1.000000,0.038907,1,1,3,3,0,1.000000,0.595500,1.000000,1.000000,,,
mod3,4,cot_pad,whitebox,none,0.906000,0.174516,0,0,,3,,,,,,,,DCSA failed faithfulness gate; extraction skipped.
