attention_concentration,attention_entropy,attention_model,attention_normalized_entropy,head,model,n_strings,scratchpad_mode,seed,task,to_cls,to_prev_bit,to_prev_state,to_self,uniform_expected_mass
0.6040175531230704,0.9814141507373529,trained,0.3959824468769298,0,cot_true,250,true,0,parity,0.04912509550131713,0.02211338219542696,0.5847159287059939,0.10331824752360931,0.09844612935225305
0.7329903772561756,0.6925615720565708,trained,0.2670096227438244,1,cot_true,250,true,0,parity,0.04971583459000804,0.004160109535255879,0.6917931473804004,0.06636771082573192,0.09844612935225305
0.034169644331085075,2.698429083669918,random_init,0.965830355668915,0,cot_true,250,true,0,parity,0.05408428071645711,0.0713338724487442,0.07245027827786481,0.12973946713546133,0.09844612935225305
0.050890925076869736,2.636139040036156,random_init,0.9491090749231302,1,cot_true,250,true,0,parity,0.08746408086382153,0.06969028641403063,0.08766550901322862,0.09781379935755966,0.09844612935225305
0.4213852432600865,1.6723269182774199,trained,0.5786147567399134,0,cot_pad,250,pad,0,parity,0.01659695982373087,0.04493613142588024,0.1654413086879517,0.05513938029922817,0.09844612935225305
0.40439206510683395,1.70425215984888,trained,0.5956079348931662,1,cot_pad,250,pad,0,parity,0.051619936847761276,0.15287663473268984,0.04197792268329002,0.042993464019923676,0.09844612935225305
0.031895509755348495,2.7049015917506996,random_init,0.9681044902446514,0,cot_pad,250,pad,0,parity,0.05360400202376852,0.07211471040626175,0.07283275645647386,0.1287692555495829,0.09844612935225305
0.05006786034399453,2.6353999729248025,random_init,0.9499321396560055,1,cot_pad,250,pad,0,parity,0.09626898318964157,0.0819601302687006,0.06897402396748256,0.11102997426920261,0.09844612935225305
0.7256218413487474,0.7905759128638862,trained,0.2743781586512527,0,cot_true,250,true,1,parity,0.013486137534014547,0.14632158406553727,0.21003961046375336,0.25817458169380686,0.09416843380628521
0.7831551442894104,0.6258600842781585,trained,0.21684485571058962,1,cot_true,250,true,1,parity,0.029584762122158104,0.12356804981007045,0.5247751138611092,0.09412458037768896,0.09416843380628521
0.05313124023488499,2.7013900109221565,random_init,0.9468687597651151,0,cot_true,250,true,1,parity,0.05545320671883914,0.0765831858237322,0.08037748860029725,0.10197497403068642,0.09416843380628521
0.03260052044750486,2.7372787682642565,random_init,0.9673994795524951,1,cot_true,250,true,1,parity,0.08451359000906952,0.06721428999056418,0.08440578438465614,0.09764638106153094,0.09416843380628521
0.6898008363710089,0.9927813886197653,trained,0.3101991636289911,0,cot_pad,250,pad,1,parity,0.027614534701019093,0.09798508590774276,0.07823351332782423,0.04144559453504193,0.09416843380628521
0.2838628398950007,2.154745936551001,trained,0.7161371601049993,1,cot_pad,250,pad,1,parity,0.08761530777200836,0.11916683844442412,0.01271696634232563,0.1109317624265645,0.09416843380628521
0.060638002111171,2.6789250505908706,random_init,0.9393619978888291,0,cot_pad,250,pad,1,parity,0.05703226023163389,0.08081956120617634,0.07391036321989494,0.10588346652706086,0.09416843380628521
