geometry_model,metric,model,n_points,n_states,n_strings,plot_prefix,scratchpad_mode,seed,task,value
trained,kmeans_purity_true_state,cot_pad,13634,2,800,parity_cot_pad_trained_seed0,pad,0,parity,0.6222678597623588
trained,kmeans_silhouette,cot_pad,13634,2,800,parity_cot_pad_trained_seed0,pad,0,parity,0.6212912201881409
trained,within_state_distance,cot_pad,13634,2,800,parity_cot_pad_trained_seed0,pad,0,parity,11.962668418884277
trained,between_state_distance,cot_pad,13634,2,800,parity_cot_pad_trained_seed0,pad,0,parity,13.50895881652832
trained,between_within_ratio,cot_pad,13634,2,800,parity_cot_pad_trained_seed0,pad,0,parity,1.1292596554129235
trained,umap_available_and_plotted,cot_pad,13634,2,800,parity_cot_pad_trained_seed0,pad,0,parity,1.0
random_init,pca_explained_variance_pc1,cot_pad,13634,2,800,parity_cot_pad_random_init_seed0,pad,0,parity,0.5790534615516663
random_init,pca_explained_variance_pc2,cot_pad,13634,2,800,parity_cot_pad_random_init_seed0,pad,0,parity,0.1326589733362198
random_init,pca_explained_variance_sum2,cot_pad,13634,2,800,parity_cot_pad_random_init_seed0,pad,0,parity,0.7117124199867249
random_init,kmeans_ari_true_state,cot_pad,13634,2,800,parity_cot_pad_random_init_seed0,pad,0,parity,0.003456487137733192
random_init,kmeans_nmi_true_state,cot_pad,13634,2,800,parity_cot_pad_random_init_seed0,pad,0,parity,0.0025484632119434675
random_init,kmeans_purity_true_state,cot_pad,13634,2,800,parity_cot_pad_random_init_seed0,pad,0,parity,0.5297051488924747
random_init,kmeans_silhouette,cot_pad,13634,2,800,parity_cot_pad_random_init_seed0,pad,0,parity,0.5062384605407715
random_init,within_state_distance,cot_pad,13634,2,800,parity_cot_pad_random_init_seed0,pad,0,parity,14.988879203796387
random_init,between_state_distance,cot_pad,13634,2,800,parity_cot_pad_random_init_seed0,pad,0,parity,15.078885078430176
random_init,between_within_ratio,cot_pad,13634,2,800,parity_cot_pad_random_init_seed0,pad,0,parity,1.0060048435516775
random_init,umap_available_and_plotted,cot_pad,13634,2,800,parity_cot_pad_random_init_seed0,pad,0,parity,1.0
trained,pca_explained_variance_pc1,direct,13362,2,800,parity_direct_trained_seed1,none,1,parity,0.652821958065033
trained,pca_explained_variance_pc2,direct,13362,2,800,parity_direct_trained_seed1,none,1,parity,0.15550903975963593
trained,pca_explained_variance_sum2,direct,13362,2,800,parity_direct_trained_seed1,none,1,parity,0.8083310127258301
trained,kmeans_ari_true_state,direct,13362,2,800,parity_direct_trained_seed1,none,1,parity,0.0045477666851130045
trained,kmeans_nmi_true_state,direct,13362,2,800,parity_direct_trained_seed1,none,1,parity,0.005458096615659677
trained,kmeans_purity_true_state,direct,13362,2,800,parity_direct_trained_seed1,none,1,parity,0.5346505014219428
trained,kmeans_silhouette,direct,13362,2,800,parity_direct_trained_seed1,none,1,parity,0.6207296252250671
trained,within_state_distance,direct,13362,2,800,parity_direct_trained_seed1,none,1,parity,12.687969207763672
trained,between_state_distance,direct,13362,2,800,parity_direct_trained_seed1,none,1,parity,12.787764549255371
trained,between_within_ratio,direct,13362,2,800,parity_direct_trained_seed1,none,1,parity,1.0078653518035523
trained,umap_available_and_plotted,direct,13362,2,800,parity_direct_trained_seed1,none,1,parity,1.0
random_init,pca_explained_variance_pc1,direct,13362,2,800,parity_direct_random_init_seed1,none,1,parity,0.6686574220657349
random_init,pca_explained_variance_pc2,direct,13362,2,800,parity_direct_random_init_seed1,none,1,parity,0.12054164707660675
random_init,pca_explained_variance_sum2,direct,13362,2,800,parity_direct_random_init_seed1,none,1,parity,0.7891990542411804
random_init,kmeans_ari_true_state,direct,13362,2,800,parity_direct_random_init_seed1,none,1,parity,0.0014397591947136988
random_init,kmeans_nmi_true_state,direct,13362,2,800,parity_direct_random_init_seed1,none,1,parity,0.0011015329587896552
random_init,kmeans_purity_true_state,direct,13362,2,800,parity_direct_random_init_seed1,none,1,parity,0.5194581649453675
random_init,kmeans_silhouette,direct,13362,2,800,parity_direct_random_init_seed1,none,1,parity,0.5727136135101318
random_init,within_state_distance,direct,13362,2,800,parity_direct_random_init_seed1,none,1,parity,14.708338737487793
random_init,between_state_distance,direct,13362,2,800,parity_direct_random_init_seed1,none,1,parity,14.780141830444336
random_init,between_within_ratio,direct,13362,2,800,parity_direct_random_init_seed1,none,1,parity,1.0048817948945883
random_init,umap_available_and_plotted,direct,13362,2,800,parity_direct_random_init_seed1,none,1,parity,1.0
trained,pca_explained_variance_pc1,cot_true,13362,2,800,parity_cot_true_trained_seed1,true,1,parity,0.8545666933059692
trained,pca_explained_variance_pc2,cot_true,13362,2,800,parity_cot_true_trained_seed1,true,1,parity,0.09632092714309692
trained,pca_explained_variance_sum2,cot_true,13362,2,800,parity_cot_true_trained_seed1,true,1,parity,0.9508876204490662
trained,kmeans_ari_true_state,cot_true,13362,2,800,parity_cot_true_trained_seed1,true,1,parity,0.9928278139120151
trained,kmeans_nmi_true_state,cot_true,13362,2,800,parity_cot_true_trained_seed1,true,1,parity,0.9828184369600639
trained,kmeans_purity_true_state,cot_true,13362,2,800,parity_cot_true_trained_seed1,true,1,parity,0.9982038616973506
trained,kmeans_silhouette,cot_true,13362,2,800,parity_cot_true_trained_seed1,true,1,parity,0.7590268850326538
trained,within_state_distance,cot_true,13362,2,800,parity_cot_true_trained_seed1,true,1,parity,5.24237060546875
trained,between_state_distance,cot_true,13362,2,800,parity_cot_true_trained_seed1,true,1,parity,21.754106521606445
trained,between_within_ratio,cot_true,13362,2,800,parity_cot_true_trained_seed1,true,1,parity,4.1496697121933614
trained,umap_available_and_plotted,cot_true,13362,2,800,parity_cot_true_trained_seed1,true,1,parity,1.0
random_init,pca_explained_variance_pc1,cot_true,13362,2,800,parity_cot_true_random_init_seed1,true,1,parity,0.5929120779037476
random_init,pca_explained_variance_pc2,cot_true,13362,2,800,parity_cot_true_random_init_seed1,true,1,parity,0.1258404552936554
random_init,pca_explained_variance_sum2,cot_true,13362,2,800,parity_cot_true_random_init_seed1,true,1,parity,0.7187525033950806
random_init,kmeans_ari_true_state,cot_true,13362,2,800,parity_cot_true_random_init_seed1,true,1,parity,0.0014397591947136988
